Date,Close,High,Low,Open,Volume,Return,SMA_10,SMA_20,RSI,MACD,MACD_signal,Lag_1,Lag_2,Lag_3,Target
2020-02-24,646.40283203125,660.7404777544862,643.9871345353313,657.4971707893623,21370214,-0.027591888182465607,657.6425903320312,652.378369140625,43.57553067989652,-2.971389281816869,-4.906080533378926,664.744384765625,672.7295532226562,656.4459228515625,0
2020-02-25,633.6310424804688,649.288374635656,630.7679444557913,649.288374635656,27745062,-0.01975825122957353,656.7836853027344,650.361929321289,39.09843473464168,-4.655501686153684,-4.855964763933878,646.40283203125,664.744384765625,672.7295532226562,0
2020-02-26,622.7155151367188,631.8191601622372,620.6353526146177,630.7678804610105,29362748,-0.01722694535453806,654.0660217285156,648.5781097412109,35.72051674704373,-6.792663139353067,-5.243304439017717,633.6310424804688,646.40283203125,664.744384765625,0
2020-02-27,620.1431884765625,623.5206972699094,612.4262996742075,620.9260041253467,25054993,-0.004130821535081708,650.3060119628906,646.4844940185546,34.95411908405944,-8.594867964301216,-5.913617144074417,622.7155151367188,633.6310424804688,646.40283203125,0
2020-02-28,594.3756103515625,607.0580958283585,592.7427884250544,606.1186214911856,39315769,-0.04155101370749614,643.797021484375,643.9099731445312,28.384381287778695,-11.964437885963775,-7.123781292452289,620.1431884765625,622.7155151367188,633.6310424804688,0
2020-03-02,588.7837524414062,612.4263145698782,582.0510718430629,606.2081051825395,29500495,-0.00940795317433829,636.1271545410157,641.7738616943359,27.19004451723694,-14.914141585102584,-8.681853350982347,594.3756103515625,620.1431884765625,622.7155151367188,1
2020-03-03,600.7281494140625,605.6714099989539,591.4008335900859,594.8454740172322,27398798,0.020286560087856564,630.0699951171875,640.8198822021484,33.61553946349345,-16.102371886209085,-10.165957058027695,588.7837524414062,594.3756103515625,620.1431884765625,0
2020-03-04,599.3189086914062,605.6265863851147,585.0930684252744,604.8213738082619,22105261,-0.002345887609946029,624.3572937011719,638.8806030273438,33.24278838822423,-16.962236802145867,-11.52521300685133,600.7281494140625,588.7837524414062,594.3756103515625,0
2020-03-05,586.5470581054688,607.4831839260905,584.2431656944867,604.9108873026663,30510390,-0.021310608426863165,615.7390441894531,635.8084075927734,29.996394551244563,-18.461455380722214,-12.912461481625506,599.3189086914062,600.7281494140625,588.7837524414062,0
2020-03-06,568.585693359375,576.2578480858582,555.2098603549766,568.1383530699313,33734039,-0.03062220583649078,606.1231750488281,631.6301300048829,26.131495060143735,-20.85848529660882,-14.501666244622172,586.5470581054688,599.3189086914062,600.7281494140625,0
2020-03-09,498.41845703125,555.1651920392663,489.8516505743549,554.7401888514859,88187018,-0.12340661600814451,591.3247375488281,624.4836639404297,16.945814787661163,-28.096183025582945,-17.22056960081433,568.585693359375,586.5470581054688,599.3189086914062,1
2020-03-11,516.0441284179688,527.1832005807552,495.6671803789598,495.6671803789598,59578576,0.03536319961283785,579.5660461425781,618.1748657226562,24.157787000704374,-32.04052303851006,-20.184560288353477,498.41845703125,568.585693359375,586.5470581054688,0
