Price,Close,High,Low,Open,Volume
Ticker,PIDILITIND.NS,PIDILITIND.NS,PIDILITIND.NS,PIDILITIND.NS,PIDILITIND.NS
Date,,,,,
2020-01-01,682.952392578125,686.1840787510965,674.0349272151352,674.5452153084572,505046
2020-01-02,679.890869140625,685.6981400779582,678.1656658247985,682.7823435928641,412824
2020-01-03,679.21044921875,681.761770934566,676.2460682323975,678.1656103659628,487864
2020-01-06,674.3751220703125,677.8741135255726,671.5808170415995,674.2050458025365,1578998
2020-01-07,680.2066650390625,695.8304856081099,675.4928180233941,675.5414027646016,1727370
2020-01-08,682.0776977539062,683.9000705069924,675.00686774312,676.513350687932,519582
2020-01-09,687.3504028320312,692.7202921682488,683.8028268873943,685.4794453771317,1021788
2020-01-10,687.71484375,696.3164188088625,684.7990475507889,690.0717671466239,5168956
2020-01-13,692.7445678710938,697.0696773532137,687.6905093522803,690.0231699985094,594534
2020-01-14,693.5707397460938,695.7575870244269,688.6139096440169,692.7446211697574,571640
2020-01-15,695.9276733398438,699.1592999647722,687.6905135813364,693.3763516957266,784918
2020-01-16,705.9386596679688,707.5666342215857,694.955837786903,695.5389733720086,1138358
2020-01-17,703.60595703125,707.17779575315,696.9725083637045,706.351677169483,979182
2020-01-20,699.9854736328125,711.9402259724501,698.9163127855777,704.6507356041315,652618
2020-01-21,687.5204467773438,699.7910891389822,686.4270232005641,699.426614613389,470402
2020-01-22,694.226806640625,702.1966021984771,689.4886377747189,691.8455611923285,697620
2020-01-23,701.9293823242188,703.1928822039251,690.0717987073765,694.4698152378087,417130
2020-01-24,708.343994140625,710.2392733097896,697.8957256656605,699.7910048348252,1003996
2020-01-27,717.6260375976562,720.0558678317135,705.1367339234129,708.6356657316445,1534176
2020-01-28,710.2879638671875,718.7923697068858,705.6712864113514,716.3139547265791,612014
2020-01-29,727.3453979492188,733.7601857079678,712.5234327182574,712.5234327182574,1269956
2020-01-30,739.0814208984375,750.8175123244183,726.5192109546961,745.9578520504739,5117712
2020-01-31,734.804931640625,747.4157259140721,731.5003390326119,743.4308283473706,1539330
2020-02-03,759.97802734375,765.1049931153706,721.902597591659,721.902597591659,2304190
2020-02-04,756.6490478515625,764.9104696970837,751.2548372168321,762.9666057334316,1204662
2020-02-05,753.708984375,759.0789326916735,749.4081969088535,757.4509583688075,906316
2020-02-06,753.4417724609375,757.4995770961328,740.3692739091954,753.8791537684137,1468834
2020-02-07,757.5724487304688,767.7777352621175,748.8736450128965,748.8736450128965,1064264
2020-02-10,765.858154296875,768.7011030784276,751.7894612175104,757.5724689374349,801762
2020-02-11,769.454345703125,777.0597263716055,764.9348969590964,770.7421676206168,1106824
2020-02-12,772.3214721679688,776.5736747046809,768.0206848952415,769.4542608788099,660122
2020-02-13,766.8543090820312,774.1437987120886,765.4449958891498,772.6859007860771,491938
2020-02-14,769.454345703125,780.9474548337523,767.1460069287252,768.8468881309145,984192
2020-02-17,767.0487670898438,780.461417189594,765.4450555174942,768.8468176098525,723906
2020-02-18,767.75341796875,779.9754754452724,761.7517493834671,779.9754754452724,744788
2020-02-19,774.5083618164062,776.9625140014816,766.1740325213179,769.235642245073,460266
2020-02-20,765.5423583984375,776.4765947534597,763.7928331240108,772.7346204965237,538030
